,,,,,,,,,,
,,,,,,,,,,
,ROUND 12,,,,,,,,,0
,,COU,,v,,MIN,The Cage of Pain,,,0
,,WOL,,v,,BWS,Full Moon Stadium,,,0
,,DIN,,v,,MON,Lillyfield Rectangle,,,0
,,GUN,,v,,LMB,The Armoury,,,0
,,BOX,,v,,DRU,Fragile Stadium,,,0
,,CBT,,v,,ROX,TWU Stadium,,,0
,,XIII,,v,,PUN,Hell,,,0
,,,,,,,,,,0
,ROUND 13,,,,,,,,,0
,,DRU,,v,,COU,Crack-Den Stadium,,,0
,,CBT,,v,,GUN,TWU Stadium,,,0
,,MON,,v,,PUN,Monster Arena,,,0
,,XIII,,v,,WOL,Hell,,,0
,,MIN,,v,,ROX,Lithgow Stadium,,,0
,,BOX,,v,,BWS,Fragile Stadium,,,0
,,DIN,,v,,LMB,Lillyfield Rectangle,,,0
,,,,,,,,,,0
,,,,,,,,,,0
,ROUND 14,,,,,,,,,0
,,LMB,,v,,CBT,The Meadow,,,0
,,MON,,v,,MIN,Monster Arena,,,0
,,BWS,,v,,GUN,Bondi Beach Pavilion,,,0
,,DRU,,v,,DIN,Crack-Den Stadium,,,0
,,WOL,,v,,COU,Full Moon Stadium,,,0
,,PUN,,v,,BOX,TAB Stadium,,,0
,,ROX,,v,,XIII,Elysium Fields,,,0
,,,,,,,,,,0
,ROUND 15,,,,,,,,,0
,,GUN,,v,,WOL,The Armoury,,,0
,,CBT,,v,,BWS,TWU Stadium,,,0
,,MIN,,v,,DRU,Lithgow Stadium,,,0
,,COU,,v,,MON,The Cage of Pain,,,0
,,DIN,,v,,PUN,Lillyfield Rectangle,,,0
,,XIII,,v,,LMB,Hell,,,0
,,BOX,,v,,ROX,Fragile Stadium,,,0
,,,,,,,,,,0
,,,,,,,,,,0
,ROUND 16,,,,,,,,,0
,,COU,,v,,GUN,The Cage of Pain,,,0
,,DRU,,v,,MON,Crack-Den Stadium,,,0
,,WOL,,v,,CBT,Full Moon Stadium,,,0
,,PUN,,v,,MIN,TAB Stadium,,,0
,,BWS,,v,,XIII,Bondi Beach Pavilion,,,0
,,ROX,,v,,DIN,Elysium Fields,,,0
,,LMB,,v,,BOX,The Meadow,,,0
,,,,,,,,,,0
,ROUND 17,,,,,,,,,0
,,ROX,,v,,MON,Elysium Fields,,,0
,,WOL,,v,,BOX,Full Moon Stadium,,,0
,,GUN,,v,,XIII,The Armoury,,,0
,,BWS,,v,,DIN,Bondi Beach Pavilion,,,0
,,PUN,,v,,DRU,TAB Stadium,,,0
,,LMB,,v,,MIN,The Meadow,,,0
,,COU,,v,,CBT,The Cage of Pain,,,0
