Round,Team,Player,Number,Position,Mins Played,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,1 Point Field Goals,2 Point Field Goals,Total Points,All Runs,All Run Metres,Kick Return Metres,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,20/40,Cross Field Kicks,Kicked Dead,Errors,Handling Errors,One on One Lost,Penalties,Ruck Infringements,Inside 10 Metres,On Report,Sin Bins,Send Offs,Stint One,Stint Two
3,Knights,Brodie Jones,17,Interchange,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Knights,Gehamat Shibasaki,18,Winger,80,0,0,0,0,0,0,0,0,29,15,130,20,42,0,0,0,0,5,1,12,3.62,0,0,0,1,0,0,17,0,0.75,9,2,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,80,0
3,Knights,Dominic Young,32,Centre,80,0,0,0,0,0,0,0,0,26,12,100,0,36,0,0,0,0,2,0,8,3.8,0,0,0,1,0,5,16,0.42,0.941,16,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,80,0
3,Wests Tigers,Daine Laurie,1,Fullback,80,0,0,0,0,0,0,0,0,51,16,140,64,31,0,1,1,0,5,0,15,4.86,1,11,0,0,1,13,30,0.81,0.6,3,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
3,Wests Tigers,David Nofoaluma,2,Winger,80,4,1,0,0,0,0,0,0,63,23,174,43,42,1,0,0,0,7,0,20,3.84,1,10,0,2,0,4,27,0.17,0.9,9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,80,0
3,Wests Tigers,Tommy Talau,3,Centre,70,4,1,0,0,0,0,0,0,35,14,129,0,41,1,1,0,0,3,1,12,3.62,0,0,0,1,1,5,20,0.36,0.778,7,2,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,69,0
3,Wests Tigers,James Roberts,4,Centre,80,0,0,0,0,0,0,0,0,38,11,93,0,21,0,0,0,0,3,0,7,3.67,1,4,0,0,2,5,12,0.45,1.0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
3,Wests Tigers,Asu Kepaoa,5,Winger,80,0,0,0,0,0,0,0,0,25,14,144,16,36,1,0,0,0,2,0,13,3.82,0,0,0,0,0,0,15,0,0.5710000000000001,4,3,0,0,1,1,19,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,80,0
3,Wests Tigers,Adam Doueihi,6,Five-Eighth,80,12,1,4,4,0,1.0,0,0,68,11,99,0,37,0,1,1,0,0,0,5,4.1,0,0,0,1,6,28,47,2.55,0.828,24,2,3,0,1,12,318,0,2,4,0,0,1,0,0,0,0,1,0,0,0,0,0,80,0
3,Wests Tigers,Luke Brooks,7,Halfback,80,0,0,0,0,0,0,0,0,45,8,63,0,9,0,1,1,0,1,0,4,4.19,1,13,0,0,1,43,59,5.38,0.762,16,2,3,0,0,12,319,1,7,0,0,0,2,1,0,0,0,0,0,0,0,0,0,80,0
